"key","value"
"EA","EAC"
"KG","KGM"
"M","MTR"
"M2","MTK"
"P","PCE"
"PC","PCE"
"PCS","PCE"
"PIECE","PCE"
"PIECE(片)","PCE"
"PR","NPR"
"PAIR","NPR"
"Y","YRD"
"YARD","YRD"
"YARDS","YRD"
"YD","YRD"
"YDS","YRD"
"YDR","YRD"
"010121","01012100003"
"010129","01012900005"
"010130","01013000002"
"010190","01019000009"
"010221","01022100002"
"010229","01022900004"
"010231","01023100000"
"010239","01023900002"
"010310","01031000004"
"010391","01039100006"
"010392","01039200005"
"010410","01041000003"
"010613","01061300008"
"010631","01063100006"
"010632","01063200005"
"010641","01064100004"
"020312","02031200001"
"020322","02032200009"
"020410","02041000002"
"020421","02042100009"
"020422","02042200008"
"020423","02042300007"
"020430","02043000008"
"020441","02044100005"
"020442","02044200004"
"020443","02044300003"
"020500","02050000003"
"020621","02062100007"
"020622","02062200006"
"020641","02064100003"
"020711","02071100008"
"020712","02071200007"
"020724","02072400003"
"020725","02072500002"
"020741","02074100002"
"020742","02074200001"
"020743","02074300000"
"020751","02075100009"
"020752","02075200008"
"020753","02075300007"
"020910","02091000007"
"020990","02099000000"
"021011","02101100003"
"021012","02101200002"
"021019","02101900005"
"021020","02102000002"
"030191","03019100006"
"030193","03019300004"
"030194","03019400003"
"030195","03019500002"
"030211","03021100002"
"030213","03021300000"
"030214","03021400009"
"030219","03021900004"
"030221","03022100000"
"030222","03022200009"
"030223","03022300008"
"030224","03022400007"
"030229","03022900002"
"030231","03023100008"
"030232","03023200007"
"030233","03023300006"
"030234","03023400005"
"030235","03023500004"
"030236","03023600003"
"030239","03023900000"
"030241","03024100006"
"030242","03024200005"
"030243","03024300004"
"030244","03024400003"
"030245","03024500002"
"030246","03024600001"
"030247","03024700000"
"030251","03025100003"
"030252","03025200002"
"030253","03025300001"
"030254","03025400000"
"030255","03025500009"
"030256","03025600008"
"030259","03025900005"
"030271","03027100009"
"030272","03027200008"
"030273","03027300007"
"030274","03027400006"
"030279","03027900001"
"030282","03028200006"
"030283","03028300005"
"030284","03028400004"
"030285","03028500003"
"030292","03029200004"
"030311","03031100001"
"030312","03031200000"
"030313","03031300009"
"030314","03031400008"
"030319","03031900003"
"030323","03032300007"
"030324","03032400006"
"030325","03032500005"
"030326","03032600004"
"030329","03032900001"
"030331","03033100007"
"030332","03033200006"
"030333","03033300005"
"030334","03033400004"
"030339","03033900009"
"030341","03034100005"
"030342","03034200004"
"030343","03034300003"
"030344","03034400002"
"030345","03034500001"
"030346","03034600000"
"030349","03034900007"
"030351","03035100002"
"030353","03035300000"
"030355","03035500008"
"030356","03035600007"
"030357","03035700006"
"030363","03036300008"
"030364","03036400007"
"030365","03036500006"
"030366","03036600005"
"030367","03036700004"
"030368","03036800003"
"030382","03038200005"
"030383","03038300004"
"030384","03038400003"
"030392","03039200003"
"030431","03043100006"
"030432","03043200005"
"030433","03043300004"
"030441","03044100004"
"030442","03044200003"
"030443","03044300002"
"030444","03044400001"
"030445","03044500000"
